uid,Gender,Age,Annual Income (k$),Spending Score (1-100),Customer Email
z1,male,19,15,39,test_zkathleen.ziemann@gerhold.com
z2,male,21,15,81,test_abigayle45@gmail.com
z3,female,20,16,6,test_jaylon.hegmann@gusikowski.com
z4,female,23,16,77,test_cletus.ziemann@murazik.com
z5,female,31,17,40,test_hailey46@johnston.info
z6,female,22,17,76,test_tbartoletti@gmail.com
z7,female,35,18,6,test_alysa19@huels.com
z8,female,23,18,94,test_xpouros@medhurst.com
z9,male,64,19,3,test_marge15@gmail.com
z10,female,30,19,72,test_lebsack.barry@spinka.com
z11,male,67,19,14,test_marianne97@green.com
z12,female,35,19,99,test_ukuhn@hackett.biz
z13,female,58,20,15,test_justina55@heaney.info
z14,female,24,20,77,test_madalyn.little@gmail.com
z15,male,37,20,13,test_reinhold.barton@hahn.com
z16,male,22,20,79,test_imedhurst@stark.com
z17,female,35,21,35,test_ubaldo79@metz.com
z18,male,20,21,66,test_john.dietrich@simonis.com
z19,male,52,23,29,test_greenfelder.lessie@ernser.org
z20,female,35,23,98,test_lorenz84@yahoo.com
z21,male,35,24,35,test_zdeckow@bartell.net
z22,male,25,24,73,test_spencer.kassulke@hotmail.com
z23,female,46,25,5,test_wilson.hodkiewicz@waters.org
z24,male,31,25,73,test_labadie.hosea@jast.biz
z25,female,54,28,14,test_gconn@gottlieb.com
z26,male,29,28,82,test_ohara.connor@yahoo.com
z27,female,45,28,32,test_myah.sporer@schaden.biz
z28,male,35,28,61,test_devonte71@hotmail.com
z29,female,40,29,31,test_kaylee52@gmail.com
z30,female,23,29,87,test_garrick96@gmail.com
z31,male,60,30,4,test_estella.rodriguez@fahey.com
z32,female,21,30,73,test_halvorson.quinn@frami.biz
z33,male,53,33,4,test_keaton.dare@considine.net
z34,male,18,33,92,test_spinka.deon@mertz.com
z35,female,49,33,14,test_connelly.aurelie@hotmail.com
z36,female,21,33,81,test_halvorson.astrid@hotmail.com
z37,female,42,34,17,test_zmcclure@maggio.com
z38,female,30,34,73,test_gregg40@yahoo.com
z39,female,36,37,26,test_olson.scot@jerde.com
z40,female,20,37,75,test_stehr.cydney@yahoo.com
z41,female,65,38,35,test_gmckenzie@walsh.net
z42,male,24,38,92,test_qdietrich@yahoo.com
z43,male,48,39,36,test_thelma58@dubuque.com
z44,female,31,39,61,test_corwin.zoie@flatley.info
z45,female,49,39,28,test_anabelle.jones@yahoo.com
z46,female,24,39,65,test_kutch.brian@yahoo.com
z47,female,50,40,55,test_xbednar@yahoo.com
z48,female,27,40,47,test_ttrantow@yahoo.com
z49,female,29,40,42,test_kenny.gorczany@yahoo.com
z50,female,31,40,42,test_lind.lucie@gmail.com
z51,female,49,42,52,test_zander.bechtelar@hagenes.com
z52,male,33,42,60,test_pinkie.murphy@towne.com
z53,female,31,43,54,test_johnston.jazmin@gmail.com
z54,male,59,43,60,test_erdman.darron@gmail.com
z55,female,50,43,45,test_hlebsack@yahoo.com
z56,male,47,43,41,test_bmarks@heller.info
z57,female,51,44,50,test_wglover@gmail.com
z58,male,69,44,46,test_xswaniawski@yahoo.com
z59,female,27,46,51,test_vivien35@spinka.org
z60,male,53,46,46,test_vbalistreri@yahoo.com
z61,male,70,46,56,test_caesar15@wolff.com
z62,male,19,46,55,test_trenton34@kling.biz
z63,female,67,47,52,test_keira.schiller@mayert.com
z64,female,54,47,59,test_nona.kutch@gmail.com
z65,male,63,48,51,test_nwintheiser@gutmann.com
z66,male,18,48,59,test_madisen.jacobs@yahoo.com
z67,female,43,48,50,test_ovon@hotmail.com
z68,female,68,48,48,test_mruecker@yahoo.com
z69,male,19,48,59,test_keeling.salvador@weimann.com
z70,female,32,48,47,test_nathan90@breitenberg.com
z71,male,70,49,55,test_pbeer@sawayn.com
z72,female,47,49,42,test_gladyce.heidenreich@yahoo.com
z73,female,60,50,49,test_mcdermott.alene@moore.com
z74,female,60,50,56,test_jlemke@deckow.org
z75,male,59,54,47,test_gerson.blanda@yundt.net
z76,male,26,54,54,test_qharris@hotmail.com
z77,female,45,54,53,test_annalise26@grant.net
z78,male,40,54,48,test_kory.bins@gmail.com
z79,female,23,54,52,test_kobe.paucek@harber.biz
z80,female,49,54,42,test_kole39@gmail.com
z81,male,57,54,51,test_schmeler.tillman@botsford.com
z82,male,38,54,55,test_wisozk.gideon@hotmail.com
z83,male,67,54,41,test_eleazar55@yahoo.com
z84,female,46,54,44,test_bergnaum.dana@mann.biz
z85,female,21,54,57,test_rosalinda.gleason@hotmail.com
z86,male,48,54,46,test_jordyn04@crona.org
z87,female,55,57,58,test_vandervort.shemar@yahoo.com
z88,female,22,57,55,test_angus.koepp@yahoo.com
z89,female,34,58,60,test_barton.destini@gmail.com
z90,female,50,58,46,test_funk.sunny@gmail.com
z91,female,68,59,55,test_jenifer12@ernser.biz
z92,male,18,59,41,test_padberg.alivia@rodriguez.com
z93,male,48,60,49,test_yparker@hotmail.com
z94,female,40,60,40,test_marcelo.herman@kassulke.com
z95,female,32,60,42,test_aufderhar.christelle@hartmann.com
